,Grabadora,Lugar,DiaGrabadora,Transformación,Permanencia,Longitud,labelspredichasporGMMHMM
0,302143,Bolívar,20170123302143,Alta,Alta,75º9'42.71'' W,6
1,302143,Bolívar,20170124302143,Alta,Alta,75º9'42.71'' W,6
2,302143,Bolívar,20170125302143,Alta,Alta,75º9'42.71'' W,6
3,302143,Bolívar,20170126302143,Alta,Alta,75º9'42.71'' W,6
4,302143,Bolívar,20170127302143,Alta,Alta,75º9'42.71'' W,6
5,302143,Bolívar,20170202302143,Alta,Alta,75º9'42.71'' W,6
6,302143,Bolívar,20170203302143,Alta,Alta,75º9'42.71'' W,6
7,302143,Bolívar,20170204302143,Alta,Alta,75º9'42.71'' W,6
8,302143,Bolívar,20170205302143,Alta,Alta,75º9'42.71'' W,6
9,302143,Bolívar,20170206302143,Alta,Alta,75º9'42.71'' W,6
10,302143,Bolívar,20170212302143,Alta,Alta,75º9'42.71'' W,1
11,302143,Bolívar,20170215302143,Alta,Alta,75º9'42.71'' W,1
12,302143,Bolívar,20170216302143,Alta,Alta,75º9'42.71'' W,1
13,302143,Bolívar,20170222302143,Alta,Alta,75º9'42.71'' W,1
14,302143,Bolívar,20170223302143,Alta,Alta,75º9'42.71'' W,1
15,302151,Bolívar,20170203302151,Baja,Alta,75º11'14.7''W,0
16,302151,Bolívar,20170204302151,Baja,Alta,75º11'14.7''W,0
17,302151,Bolívar,20170205302151,Baja,Alta,75º11'14.7''W,0
18,302151,Bolívar,20170206302151,Baja,Alta,75º11'14.7''W,0
19,302151,Bolívar,20170212302151,Baja,Alta,75º11'14.7''W,0
20,302151,Bolívar,20170213302151,Baja,Alta,75º11'14.7''W,0
21,302151,Bolívar,20170303302151,Baja,Alta,75º11'14.7''W,0
22,302151,Bolívar,20170306302151,Baja,Alta,75º11'14.7''W,0
23,302298,Bolívar,20170202302298,Baja,Media,75º11'30.4''W,5
24,302298,Bolívar,20170203302298,Baja,Media,75º11'30.4''W,5
25,302298,Bolívar,20170204302298,Baja,Media,75º11'30.4''W,5
26,302298,Bolívar,20170205302298,Baja,Media,75º11'30.4''W,5
27,302298,Bolívar,20170206302298,Baja,Media,75º11'30.4''W,5
28,302298,Bolívar,20170212302298,Baja,Baja,75º11'5.7''W,0
29,302298,Bolívar,20170213302298,Baja,Baja,75º11'5.7''W,0
30,302298,Bolívar,20170214302298,Baja,Baja,75º11'5.7''W,0
31,302298,Bolívar,20170215302298,Baja,Baja,75º11'5.7''W,0
32,302298,Bolívar,20170216302298,Baja,Baja,75º11'5.7''W,0
33,302298,Bolívar,20170222302298,Baja,Baja,75º11'5.7''W,0
34,302298,Bolívar,20170223302298,Baja,Baja,75º11'5.7''W,0
35,302298,Bolívar,20170224302298,Baja,Baja,75º11'5.7''W,0
36,302298,Bolívar,20170226302298,Baja,Baja,75º11'5.7''W,0
37,302298,Bolívar,20170303302298,Baja,Baja,75º11'5.7''W,0
38,5067,Bolívar,201602145067,Media,Alta,"75º09'33.7""W",4
39,5067,Bolívar,201602155067,Media,Alta,"75º09'33.7""W",4
40,5067,Bolívar,201602165067,Media,Alta,"75º09'33.7""W",4
41,5067,Bolívar,201602175067,Media,Alta,"75º09'33.7""W",4
42,5067,Bolívar,201602245067,Media,Alta,"75º09'33.7""W",4
43,5067,Bolívar,201602255067,Media,Alta,"75º09'33.7""W",4
44,5067,Bolívar,201602265067,Media,Alta,"75º09'33.7""W",4
45,5067,Bolívar,201602275067,Media,Alta,"75º09'33.7""W",4
46,5067,Bolívar,201603055067,Media,Alta,"75º09'33.7""W",4
47,5067,Bolívar,201603065067,Media,Alta,"75º09'33.7""W",4
48,5067,Bolívar,201603075067,Media,Alta,"75º09'33.7""W",4
49,5067,Bolívar,201603085067,Media,Alta,"75º09'33.7""W",4
50,5067,Bolívar,201603155067,Media,Alta,"75º09'33.7""W",3
51,5067,Bolívar,201603165067,Media,Alta,"75º09'33.7""W",3
52,5067,Bolívar,201603175067,Media,Alta,"75º09'33.7""W",3
53,5067,Bolívar,201603185067,Media,Alta,"75º09'33.7""W",3
54,5069,Bolívar,201602255069,Alta,Media,"75º08'22.3""W",4
55,5069,Bolívar,201602265069,Alta,Media,"75º08'22.3""W",2
56,5070,Bolívar,201602145070,Media,Baja,"75º10'11.5""W",3
57,5070,Bolívar,201602155070,Media,Baja,"75º10'11.5""W",3
58,5070,Bolívar,201602165070,Media,Baja,"75º10'11.5""W",3
59,5070,Bolívar,201602175070,Media,Baja,"75º10'11.5""W",3
60,5070,Bolívar,201602245070,Media,Baja,"75º10'11.5""W",3
61,5070,Bolívar,201602255070,Media,Baja,"75º10'11.5""W",3
62,5070,Bolívar,201602265070,Media,Baja,"75º10'11.5""W",3
63,5070,Bolívar,201602275070,Media,Baja,"75º10'11.5""W",3
64,5070,Bolívar,201603055070,Media,Baja,"75º10'11.5""W",3
65,5070,Bolívar,201603065070,Media,Baja,"75º10'11.5""W",3
66,5070,Bolívar,201603075070,Media,Baja,"75º10'11.5""W",3
67,5071,Bolívar,201602145071,Baja,Media,"75º11'30.4""W",2
68,5071,Bolívar,201602155071,Baja,Media,"75º11'30.4""W",2
69,5071,Bolívar,201602165071,Baja,Media,"75º11'30.4""W",2
70,5071,Bolívar,201602175071,Baja,Media,"75º11'30.4""W",2
71,5071,Bolívar,201602245071,Baja,Alta,"75º11'14.7""W",2
72,5071,Bolívar,201602255071,Baja,Alta,"75º11'14.7""W",2
73,5071,Bolívar,201602265071,Baja,Alta,"75º11'14.7""W",2
74,5071,Bolívar,201602275071,Baja,Alta,"75º11'14.7""W",2
75,5071,Bolívar,201603055071,Alta,Alta,"75º09'42.7""W",2
76,5071,Bolívar,201603075071,Alta,Alta,"75º09'42.7""W",2
77,5071,Bolívar,201603085071,Alta,Alta,"75º09'42.7""W",2
78,5071,Bolívar,201603155071,Alta,Alta,"75º09'42.7""W",1
79,5071,Bolívar,201701245071,Alta,Baja,75º8'22.3''W,7
80,5071,Bolívar,201701255071,Alta,Baja,75º8'22.3''W,7
81,5071,Bolívar,201701265071,Alta,Baja,75º8'22.3''W,7
82,5071,Bolívar,201702025071,Alta,Baja,75º8'22.3''W,7
83,5071,Bolívar,201702035071,Alta,Baja,75º8'22.3''W,7
84,5071,Bolívar,201702145071,Alta,Media,"75° 8' 25.9"" W",7
85,5071,Bolívar,201702155071,Alta,Media,"75° 8' 25.9"" W",7
86,5071,Bolívar,201702165071,Alta,Media,"75° 8' 25.9"" W",7
